Year,M,D,H,M,S,alpha,dec
[1900],[11],[21],[0],[0],[0.00],[16.7879291324],[-22.383319645]
[1900],[11],[22],[0],[0],[0.00],[16.7921422304],[-22.397743158]
[1900],[11],[23],[0],[0],[0.00],[16.7959521901],[-22.404518354]
[1900],[11],[24],[0],[0],[0.00],[16.8002973002],[-22.405171016]
[1900],[11],[25],[0],[0],[0.00],[16.8051313471],[-22.412820764]
[1900],[11],[26],[0],[0],[0.00],[16.8094988581],[-22.427316284]
[1900],[11],[27],[0],[0],[0.00],[16.8133498691],[-22.435572996]
[1900],[11],[28],[0],[0],[0.00],[16.8176215516],[-22.436263573]
[1900],[11],[29],[0],[0],[0.00],[16.8224763876],[-22.442336025]
[1900],[11],[30],[0],[0],[0.00],[16.8269816032],[-22.456541326]
[1900],[12],[1],[0],[0],[0.00],[16.8308820711],[-22.466214612]
[1900],[12],[2],[0],[0],[0.00],[16.8350693088],[-22.467247195]
[1900],[12],[3],[0],[0],[0.00],[16.8399059480],[-22.471784847]
[1900],[12],[4],[0],[0],[0.00],[16.8445280845],[-22.485351041]
[1900],[12],[5],[0],[0],[0.00],[16.8484858842],[-22.496310747]
[1900],[12],[6],[0],[0],[0.00],[16.8525839261],[-22.497965356]
[1900],[12],[7],[0],[0],[0.00],[16.8573664960],[-22.501089118]
[1900],[12],[8],[0],[0],[0.00],[16.8620805472],[-22.513693778]
[1900],[12],[9],[0],[0],[0.00],[16.8661027826],[-22.525746209]
[1900],[12],[10],[0],[0],[0.00],[16.8701120188],[-22.528275105]
[1900],[12],[11],[0],[0],[0.00],[16.8748079000],[-22.530165389]
[1900],[12],[12],[0],[0],[0.00],[16.8795848893],[-22.541530406]
[1900],[12],[13],[0],[0],[0.00],[16.8836749831],[-22.554424903]
[1900],[12],[14],[0],[0],[0.00],[16.8875992802],[-22.558028164]
[1900],[12],[15],[0],[0],[0.00],[16.8921787816],[-22.558923105]
[1900],[12],[16],[0],[0],[0.00],[16.8969848745],[-22.568819710]
[1900],[12],[17],[0],[0],[0.00],[16.9011417225],[-22.582262851]
[1900],[12],[18],[0],[0],[0.00],[16.9049868713],[-22.587086298]
[1900],[12],[19],[0],[0],[0.00],[16.9094240550],[-22.587264075]
[1900],[12],[20],[0],[0],[0.00],[16.9142219223],[-22.595530804]
[1900],[12],[21],[0],[0],[0.00],[16.9184389491],[-22.609194610]
[1900],[12],[22],[0],[0],[0.00],[16.9222122112],[-22.615319215]
[1900],[12],[23],[0],[0],[0.00],[16.9264854394],[-22.615085814]
[1900],[12],[24],[0],[0],[0.00],[16.9312355483],[-22.621632239]
[1900],[12],[25],[0],[0],[0.00],[16.9355008453],[-22.635170991]
[1900],[12],[26],[0],[0],[0.00],[16.9392104206],[-22.642608277]
[1900],[12],[27],[0],[0],[0.00],[16.9433033252],[-22.642280948]
[1900],[12],[28],[0],[0],[0.00],[16.9479657466],[-22.647089540]
[1900],[12],[29],[0],[0],[0.00],[16.9522627214],[-22.660153362]
[1900],[12],[30],[0],[0],[0.00],[16.9559170656],[-22.668847415]
